[25/05/2017 15:44:39][PASS][LaunchBrowser], Launch browser : Successfull
[25/05/2017 15:44:40][PASS][SearchKeyword], Search : Successfull
[25/05/2017 15:44:41][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[25/05/2017 15:44:46][PASS][LaunchBrowser], Launch browser : Successfull
[25/05/2017 15:44:47][PASS][SearchKeyword], Search : Successfull
[25/05/2017 15:44:54][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[25/05/2017 15:44:57][PASS][CloseBrowser], Close browser : Successfull
[29/05/2017 08:38:22][PASS][LaunchBrowser], Launch browser : Successfull
[29/05/2017 08:38:22][PASS][SearchKeyword], Search : Successfull
[29/05/2017 08:38:23][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[29/05/2017 08:38:28][PASS][LaunchBrowser], Launch browser : Successfull
[29/05/2017 08:38:29][PASS][SearchKeyword], Search : Successfull
[29/05/2017 08:38:38][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[29/05/2017 08:38:41][PASS][CloseBrowser], Close browser : Successfull
