[24/05/2017 13:14:36][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:14:36][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:14:37][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:14:42][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:14:43][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:14:51][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:14:54][PASS][CloseBrowser], Close browser : Successfull
[24/05/2017 13:15:18][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:15:18][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:15:25][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:15:25][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:15:26][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:15:32][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:15:33][PASS][CloseBrowser], Close browser : Successfull
[24/05/2017 13:16:35][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:16:36][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:16:42][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:16:42][PASS][LaunchBrowser], Launch browser : Successfull
[24/05/2017 13:16:43][PASS][SearchKeyword], Search : Successfull
[24/05/2017 13:16:51][PASS][ClickLinkPartialText], ClickLinkPartialText : Successfull
[24/05/2017 13:16:52][PASS][CloseBrowser], Close browser : Successfull
